"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","British Columbia [59]","2016A000259","Total, all violations [0]","Actual incidents","Number","223","units","0","v71106452","1.1.1","489209","","","","0"
"2019","British Columbia [59]","2016A000259","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71106453","1.1.2","9646.55","","","","2"
"2019","British Columbia [59]","2016A000259","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71106454","1.1.3","16.70","","","","2"
"2019","British Columbia [59]","2016A000259","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v71106494","1.4.1","79826","","","","0"
"2019","British Columbia [59]","2016A000259","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v71106495","1.4.2","1574.06","","","","2"
"2019","British Columbia [59]","2016A000259","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v71106496","1.4.3","33.23","","","","2"
"2019","British Columbia [59]","2016A000259","Total property crime violations [200]","Actual incidents","Number","223","units","0","v71107320","1.64.1","270330","","","","0"
"2019","British Columbia [59]","2016A000259","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v71107321","1.64.2","5330.55","","","","2"
"2019","British Columbia [59]","2016A000259","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v71107322","1.64.3","11.64","","","","2"
"2019","British Columbia [59]","2016A000259","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v71108468","1.148.1","22709","","","","0"
"2019","British Columbia [59]","2016A000259","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71108469","1.148.2","447.79","","","","2"
"2019","British Columbia [59]","2016A000259","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71108470","1.148.3","34.82","","","","2"
"2019","British Columbia [59]","2016A000259","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854107","1.231.1","19701","","","","0"
"2019","British Columbia [59]","2016A000259","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854108","1.231.2","388.48","","","","2"
"2019","British Columbia [59]","2016A000259","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854109","1.231.3","0.96","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total, all violations [0]","Actual incidents","Number","223","units","0","v71144252","13.1.1","6054","","","","0"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71144253","13.1.2","7592.46","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71144254","13.1.3","8.47","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v71144294","13.4.1","1171","","","","0"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v71144295","13.4.2","1468.58","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v71144296","13.4.3","55.64","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total property crime violations [200]","Actual incidents","Number","223","units","0","v71145120","13.64.1","3462","","","","0"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v71145121","13.64.2","4341.77","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v71145122","13.64.3","-2.50","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v71146268","13.148.1","285","","","","0"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71146269","13.148.2","357.43","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71146270","13.148.3","24.63","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854275","13.231.1","114","","","","0"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854276","13.231.2","142.97","","","","2"
"2019","New Westminster, British Columbia, municipal [59012]","59012","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854277","13.231.3","-34.31","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total, all violations [0]","Actual incidents","Number","223","units","0","v71175752","23.1.1","60881","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71175753","23.1.2","8853.31","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71175754","23.1.3","0.98","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v71175794","23.4.1","8748","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v71175795","23.4.2","1272.13","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v71175796","23.4.3","3.45","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total property crime violations [200]","Actual incidents","Number","223","units","0","v71176620","23.64.1","43975","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v71176621","23.64.2","6394.84","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v71176622","23.64.3","2.84","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v71177768","23.148.1","1096","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71177769","23.148.2","159.38","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71177770","23.148.3","-9.97","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854415","23.231.1","1552","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854416","23.231.2","225.69","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854417","23.231.3","-32.43","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total, all violations [0]","Actual incidents","Number","223","units","0","v71207252","33.1.1","17534","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71207253","33.1.2","6930.24","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71207254","33.1.3","20.57","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v71207294","33.4.1","2394","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v71207295","33.4.2","946.22","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v71207296","33.4.3","24.97","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total property crime violations [200]","Actual incidents","Number","223","units","0","v71208120","33.64.1","11383","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v71208121","33.64.2","4499.09","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v71208122","33.64.3","10.69","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v71209268","33.148.1","683","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71209269","33.148.2","269.95","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71209270","33.148.3","24.75","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854555","33.231.1","312","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854556","33.231.2","123.32","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854557","33.231.3","-49.15","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total, all violations [0]","Actual incidents","Number","223","units","0","v71210402","34.1.1","50181","","","","0"
