"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2438518","","","","0"
"2019","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","6487.27","","","","2"
"2019","Canada","2016A000011124","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44391402","1.1.3","5.43","","","","2"
"2019","Canada","2016A000011124","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44327628","1.1.5","685513","","","","0"
"2019","Canada","2016A000011124","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44359134","1.1.6","291572","","","","0"
"2019","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","642813","","","","0"
"2019","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","604210","","","","0"
"2019","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","38603","","","","0"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","480004","","","","0"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1276.97","","","","2"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","10.87","","","","2"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Cleared by charge","Number","223","units","0","v44400239","1.4.5","212739","","","","0"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Cleared otherwise","Number","223","units","0","v44354555","1.4.6","79401","","","","0"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","187111","","","","0"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v44394139","1.4.9","169986","","","","0"
"2019","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v44406827","1.4.11","17125","","","","0"
"2019","Canada","2016A000011124","Total property crime violations [200]","Actual incidents","Number","223","units","0","v44369512","1.64.1","1319562","","","","0"
"2019","Canada","2016A000011124","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v44338294","1.64.2","3510.48","","","","2"
"2019","Canada","2016A000011124","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v44404526","1.64.3","4.82","","","","2"
"2019","Canada","2016A000011124","Total property crime violations [200]","Cleared by charge","Number","223","units","0","v44331647","1.64.5","143892","","","","0"
"2019","Canada","2016A000011124","Total property crime violations [200]","Cleared otherwise","Number","223","units","0","v44392130","1.64.6","113674","","","","0"
